	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	1.0000	-0.0018	-0.0019	-0.0036	-0.0048	-0.0023	0.0010	-0.0005	-0.0002	0.0001	-0.0029	0.0071	0.0053	0.0010	0.0001
1	-0.0018	1.0000	-0.0007	0.0023	0.0015	-0.0018	-0.0000	0.0030	-0.0031	-0.0014	0.0024	-0.0037	-0.0032	0.0029	-0.0002
2	-0.0019	-0.0007	1.0000	0.0051	-0.0029	0.0036	-0.0052	0.0020	-0.0017	-0.0097	0.0001	-0.0018	-0.0030	-0.0021	0.0038
3	-0.0036	0.0023	0.0051	1.0000	-0.0045	0.0017	0.0029	-0.0034	0.0017	0.0042	-0.0043	0.0073	0.0028	0.0017	0.0014
4	-0.0048	0.0015	-0.0029	-0.0045	1.0000	0.0014	-0.0011	-0.0020	0.0106	0.0031	-0.0065	0.0005	-0.0080	-0.0003	-0.0057
5	-0.0023	-0.0018	0.0036	0.0017	0.0014	1.0000	-0.0014	-0.0030	-0.0002	0.0016	0.0006	0.0017	0.0026	-0.0026	-0.0033
6	0.0010	-0.0000	-0.0052	0.0029	-0.0011	-0.0014	1.0000	0.0001	0.0001	0.0078	0.0039	0.0007	0.0019	-0.0037	0.0015
7	-0.0005	0.0030	0.0020	-0.0034	-0.0020	-0.0030	0.0001	1.0000	0.0013	-0.0010	-0.0019	-0.0000	-0.0013	0.0012	0.0016
8	-0.0002	-0.0031	-0.0017	0.0017	0.0106	-0.0002	0.0001	0.0013	1.0000	-0.0004	-0.0009	-0.0008	-0.0018	-0.0024	-0.0010
9	0.0001	-0.0014	-0.0097	0.0042	0.0031	0.0016	0.0078	-0.0010	-0.0004	1.0000	0.0018	0.0046	0.0059	0.0040	-0.0034
10	-0.0029	0.0024	0.0001	-0.0043	-0.0065	0.0006	0.0039	-0.0019	-0.0009	0.0018	1.0000	0.1299	0.0091	0.0034	0.0003
11	0.0071	-0.0037	-0.0018	0.0073	0.0005	0.0017	0.0007	-0.0000	-0.0008	0.0046	0.1299	1.0000	0.0491	0.0094	0.0201
12	0.0053	-0.0032	-0.0030	0.0028	-0.0080	0.0026	0.0019	-0.0013	-0.0018	0.0059	0.0091	0.0491	1.0000	0.0162	0.0325
13	0.0010	0.0029	-0.0021	0.0017	-0.0003	-0.0026	-0.0037	0.0012	-0.0024	0.0040	0.0034	0.0094	0.0162	1.0000	0.0791
14	0.0001	-0.0002	0.0038	0.0014	-0.0057	-0.0033	0.0015	0.0016	-0.0010	-0.0034	0.0003	0.0201	0.0325	0.0791	1.0000
